linkage,threshold,n_clusters,silhouette,davies_bouldin
average,0.1,5595,0.11744913458824158,0.7113071078271461
average,0.15,3177,0.12959478795528412,0.8713109294114634
average,0.2,1821,0.13190649449825287,0.9928202294526248
average,0.25,1055,0.10739394277334213,1.115123680469077
average,0.3,619,0.09121964126825333,1.202755574760405
average,0.35,357,0.09382838010787964,1.280959110073432
average,0.4,221,0.09155651181936264,1.3297210047079646
average,0.5,76,0.03580322116613388,1.4768554086814478
complete,0.1,6661,0.10208287090063095,0.7557318794443886
complete,0.15,4347,0.10036008805036545,0.9783917141177086
complete,0.2,2911,0.10532736778259277,1.1848856677087118
complete,0.25,1992,0.10107260197401047,1.3542815408500442
complete,0.3,1412,0.09063632041215897,1.5091000871896516
complete,0.35,994,0.09090215712785721,1.6436457874475168
complete,0.4,727,0.08055569231510162,1.7695143633966686
complete,0.5,377,0.08607614040374756,2.0374967161825794
single,0.1,2804,-0.4864606261253357,0.9621362981631281
single,0.15,985,-0.4821085035800934,0.9356522850400607
single,0.2,320,-0.3261249363422394,0.901742338420408
single,0.25,107,-0.17345093190670013,0.8651934562735665
single,0.3,28,0.0026898072101175785,0.8264425748357834
single,0.35,11,0.09826851636171341,0.8055498993053288
single,0.4,2,0.18131674826145172,0.8169156140011125
single,0.5,1,,
